
Comment,Time Stamp (sec),Temperature (K),Field (Oe),Vlong (V),Vhall (V),Vr (V)
,3927057358.69567,8.00236225128174,135781.28125,-0.00000231976603,,
,3927057359.24062,8.00193214416504,135761.4375,-0.00000233019563,,
,3927057359.78194,8.00112438201904,135737.84375,-0.00000231678614,,
,3927057360.3332,8.00095272064209,135718.09375,-0.00000139773895,,
,3927057360.89615,8.00068283081055,135698.265625,-0.000000438339075,,
,3927057361.42427,7.99991846084595,135674.609375,-0.000000374395648,,
,3927057361.97537,7.99974632263184,135654.71875,-0.000000360613667,,
,3927057362.5174,7.9998984336853,135631,-0.000000350680707,,
,3927057363.06701,7.99953079223633,135611.421875,-0.000000340499424,,
,3927057363.61697,7.99979782104492,135587.71875,-0.000000333794676,,
,3927057364.16127,8.00013542175293,135567.9375,-0.000000341120196,,
,3927057364.70567,8.0003023147583,135548.078125,-0.000000341865167,,
,3927057365.25778,8.00057792663574,135524.40625,-0.00000033950609,,
,3927057365.80155,8.00081539154053,135500.765625,-0.000000334787936,,
,3927057366.34698,8.00063514709473,135481.046875,-0.000000344348407,,
,3927057366.90888,8.00054359436035,135457.296875,-0.00000033503626,,
,3927057367.45605,8.00096130371094,135437.65625,-0.000000349935687,,
,3927057367.9861,7.99965238571167,135413.828125,-0.000000338761112,,
,3927057368.53749,7.99960088729858,135393.90625,-0.000000346459153,,
,3927057369.09605,7.9998984336853,135370.375,-0.000000351798116,,
,3927057369.62868,7.99917793273926,135350.59375,-0.000000340623541,,
,3927057370.17567,7.99914741516113,135326.8125,-0.000000333173824,,
,3927057370.78675,7.9993748664856,135306.9375,-0.000000343230954,,
,3927057371.3426,7.99957990646362,135283.140625,-0.000000344596736,,
,3927057371.94177,7.9994330406189,135259.5625,-0.000000328455681,,
,3927057372.48175,8.00013160705566,135235.921875,-0.00000033218054,,
,3927057373.0279,8.00035762786865,135216.140625,-0.0000019721117,,
,3927057373.58123,8.00035762786865,135196.46875,-0.00000224154315,,
,3927057374.11411,8.00019645690918,135172.609375,-0.00000227481895,,
,3927057374.67661,7.99978590011597,135152.859375,-0.00000229567862,,
,3927057375.28187,7.99978590011597,135129.125,-0.00000232038686,,
